R_int	Phi_global	P_surf
1.0697785278e+07	9.8825304839e-01	6.6759836502e+03
1.0697785278e+07	9.8818764219e-01	6.6761579561e+03
1.0697785278e+07	9.8812200764e-01	6.6766845692e+03
1.0697785278e+07	9.8805614058e-01	6.6775701562e+03
1.0697785278e+07	9.8799004335e-01	6.6787713984e+03
1.0697785278e+07	9.8792371506e-01	6.6802351309e+03
1.0697785278e+07	9.8785715161e-01	6.6819131324e+03
1.0697785278e+07	9.8779035682e-01	6.6837656406e+03
1.0697785278e+07	9.8772332453e-01	6.6857611855e+03
1.0697785278e+07	9.8765605648e-01	6.6878751141e+03
1.0697785278e+07	9.8758855085e-01	6.6900880647e+03
1.0697785278e+07	9.8752080535e-01	6.6923848720e+03
1.0697785278e+07	9.8745281929e-01	6.6947533982e+03
1.0697785278e+07	9.8738459123e-01	6.6971838936e+03
1.0697785278e+07	9.8731611848e-01	6.6996683934e+03
1.0697785278e+07	9.8724740145e-01	6.7022002709e+03
1.0697785278e+07	9.8717843771e-01	6.7047739523e+03
1.0697785278e+07	9.8710922283e-01	6.7073847530e+03
1.0697785278e+07	9.8703975283e-01	6.7100286439e+03
1.0697785278e+07	9.8697002427e-01	6.7127020383e+03
1.0697785278e+07	9.8690003978e-01	6.7154018689e+03
1.0697785278e+07	9.8682980657e-01	6.7181253888e+03
1.0697785278e+07	9.8675932330e-01	6.7208703384e+03
1.0697785278e+07	9.8668858771e-01	6.7236349339e+03
1.0697785278e+07	9.8661759949e-01	6.7264178144e+03
1.0697785278e+07	9.8654635838e-01	6.7292182055e+03
1.0697785278e+07	9.8647486145e-01	6.7320361417e+03
1.0697785278e+07	9.8640310723e-01	6.7348724406e+03
1.0697785278e+07	9.8633109425e-01	6.7377289242e+03
1.0697785278e+07	9.8625881921e-01	6.7406086565e+03
1.0697785278e+07	9.8618628400e-01	6.7435158164e+03
1.0697785278e+07	9.8611348225e-01	6.7464563668e+03
1.0697785278e+07	9.8604041562e-01	6.7494374925e+03
1.0697785278e+07	9.8596708437e-01	6.7524680053e+03
1.0697785278e+07	9.8589348354e-01	6.7555584620e+03
1.0697785278e+07	9.8581961141e-01	6.7587207160e+03
1.0697785278e+07	9.8574546734e-01	6.7619678078e+03
1.0697785278e+07	9.8567104494e-01	6.7653140245e+03
1.0697785278e+07	9.8559634717e-01	6.7687739488e+03
1.0697785278e+07	9.8552137356e-01	6.7723626498e+03
1.0697785278e+07	9.8544611711e-01	6.7760955285e+03
1.0697785278e+07	9.8537058081e-01	6.7800025244e+03
1.0697785278e+07	9.8529476227e-01	6.7841153018e+03
1.0697785278e+07	9.8521865906e-01	6.7884160703e+03
1.0697785278e+07	9.8514226978e-01	6.7929161039e+03
1.0697785278e+07	9.8506559142e-01	6.7976246473e+03
1.0697785278e+07	9.8498862599e-01	6.8025480712e+03
1.0697785278e+07	9.8491137053e-01	6.8076901661e+03
1.0697785278e+07	9.8483382379e-01	6.8130514905e+03
1.0697785278e+07	9.8475598295e-01	6.8186295257e+03
1.0697785278e+07	9.8467784975e-01	6.8244183498e+03
1.0697785278e+07	9.8459942137e-01	6.8304095286e+03
1.0697785278e+07	9.8452069645e-01	6.8365921077e+03
1.0697785278e+07	9.8444167361e-01	6.8429531931e+03
1.0697785278e+07	9.8436235142e-01	6.8494784814e+03
1.0697785278e+07	9.8428272846e-01	6.8561527814e+03
1.0697785278e+07	9.8420280323e-01	6.8629605132e+03
1.0697785278e+07	9.8412257420e-01	6.8698861282e+03
1.0697785278e+07	9.8404203866e-01	6.8769145630e+03
1.0697785278e+07	9.8396119577e-01	6.8840312366e+03
1.0697785278e+07	9.8388004598e-01	6.8912222886e+03
1.0697785278e+07	9.8379858409e-01	6.8984753109e+03
1.0697785278e+07	9.8371681237e-01	6.9057782416e+03
1.0697785278e+07	9.8363472517e-01	6.9131207415e+03
1.0697785278e+07	9.8355232480e-01	6.9204927496e+03
1.0697785278e+07	9.8346960757e-01	6.9278856782e+03
1.0697785278e+07	9.8338657172e-01	6.9352916276e+03
1.0697785278e+07	9.8330321551e-01	6.9427034837e+03
1.0697785278e+07	9.8321953716e-01	6.9501148370e+03
1.0697785278e+07	9.8313553489e-01	6.9575199201e+03
1.0697785278e+07	9.8305120609e-01	6.9649138006e+03
1.0697785278e+07	9.8296654967e-01	6.9722942866e+03
1.0697785278e+07	9.8288156217e-01	6.9796857017e+03
1.0697785278e+07	9.8279623254e-01	6.9873928109e+03
