Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
3.5440853720e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566345411e+03	3.8464887627e+03	1.0006811535e+04	2.4859177551e+01	9.9737125484e-01	5.3511705686e-01	4.2640720078e+24	3.8042342663e+25	1.3127174453e+07	2.6114230660e+03	4.0000000000e+00
3.5440853852e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566347076e+03	3.8467330487e+03	9.9644741861e+03	2.4859177551e+01	9.9729936804e-01	5.3511705686e-01	4.2673023739e+24	3.8039112297e+25	1.3127211781e+07	2.6135903855e+03	4.0000000000e+00
3.5440853982e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566348941e+03	3.8469800643e+03	9.9221367833e+03	2.4859177551e+01	9.9722727562e-01	5.3511705686e-01	4.2705418080e+24	3.8035872863e+25	1.3127249523e+07	2.6157835747e+03	4.0000000000e+00
3.5440854110e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566351016e+03	3.8472303746e+03	9.8797995577e+03	2.4859177551e+01	9.9715497887e-01	5.3511705686e-01	4.2738079889e+24	3.8032606682e+25	1.3127287765e+07	2.6180076767e+03	4.0000000000e+00
3.5440854236e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566353311e+03	3.8474846965e+03	9.8374621794e+03	2.4859177551e+01	9.9708248078e-01	5.3511705686e-01	4.2770904203e+24	3.8029324250e+25	1.3127326617e+07	2.6202690897e+03	4.0000000000e+00
3.5440854361e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566355836e+03	3.8477438918e+03	9.7951248040e+03	2.4859177551e+01	9.9700860481e-01	5.3511705686e-01	4.2804440432e+24	3.8025970627e+25	1.3127366208e+07	2.6225758183e+03	4.0000000000e+00
3.5440854485e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4578467571e+03	3.8480089667e+03	9.7527875781e+03	2.4859177551e+01	9.9693427468e-01	5.3511705686e-01	4.2838174903e+24	3.8022597180e+25	1.3127283546e+07	2.6249366336e+03	4.0000000000e+00
3.5440854609e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4580055442e+03	3.8482810631e+03	9.7104502187e+03	2.4859177551e+01	9.9685972565e-01	5.3511705686e-01	4.2872019808e+24	3.8019212690e+25	1.3127325123e+07	2.6273617190e+03	4.0000000000e+00
3.5440854734e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4580057061e+03	3.8485614349e+03	9.6681128593e+03	2.4859177551e+01	9.9678495690e-01	5.3511705686e-01	4.2905984504e+24	3.8015816220e+25	1.3127367963e+07	2.6298623508e+03	4.0000000000e+00
3.5440854859e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4580058918e+03	3.8488514337e+03	9.6257753843e+03	2.4859177551e+01	9.9670996717e-01	5.3511705686e-01	4.2940077788e+24	3.8012406892e+25	1.3127412272e+07	2.6324507196e+03	4.0000000000e+00
3.5440854985e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4580061024e+03	3.8491524816e+03	9.5834381576e+03	2.4859177551e+01	9.9663475606e-01	5.3511705686e-01	4.2974306715e+24	3.8008983999e+25	1.3127458268e+07	2.6351396961e+03	4.0000000000e+00
3.5440855113e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4580063397e+03	3.8494660578e+03	9.5411008031e+03	2.4859177551e+01	9.9655932182e-01	5.3511705686e-01	4.3008678676e+24	3.8005546803e+25	1.3127506178e+07	2.6379427197e+03	4.0000000000e+00
3.5440855244e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4580066058e+03	3.8497936688e+03	9.4987635767e+03	2.4859177551e+01	9.9648366386e-01	5.3511705686e-01	4.3043199227e+24	3.8002094748e+25	1.3127556231e+07	2.6408735409e+03	4.0000000000e+00
3.5440855376e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4606619651e+03	3.8501368362e+03	9.4564263507e+03	2.4859177551e+01	9.9640778089e-01	5.3511705686e-01	4.3077871249e+24	3.7998627546e+25	1.3127340697e+07	2.6439461234e+03	4.0000000000e+00
3.5440855512e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609888072e+03	3.8504970754e+03	9.4140891247e+03	2.4859177551e+01	9.9633167186e-01	5.3511705686e-01	4.3112698214e+24	3.7995144849e+25	1.3127395775e+07	2.6471744567e+03	4.0000000000e+00
3.5440855650e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609888293e+03	3.8508758725e+03	9.3717517806e+03	2.4859177551e+01	9.9625533554e-01	5.3511705686e-01	4.3147678844e+24	3.7991646786e+25	1.3127453690e+07	2.6505723623e+03	4.0000000000e+00
3.5440855792e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609888803e+03	3.8512746586e+03	9.3294145549e+03	2.4859177551e+01	9.9617877129e-01	5.3511705686e-01	4.3182814924e+24	3.7988133178e+25	1.3127514659e+07	2.6541532668e+03	4.0000000000e+00
3.5440855938e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609889622e+03	3.8516947847e+03	9.2870772165e+03	2.4859177551e+01	9.9610197767e-01	5.3511705686e-01	4.3218104465e+24	3.7984604224e+25	1.3127578888e+07	2.6579299852e+03	4.0000000000e+00
3.5440856087e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609890775e+03	3.8521374768e+03	9.2447397884e+03	2.4859177551e+01	9.9602495371e-01	5.3511705686e-01	4.3253543906e+24	3.7981060280e+25	1.3127646563e+07	2.6619143218e+03	4.0000000000e+00
3.5440856241e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609892289e+03	3.8526037928e+03	9.2024025625e+03	2.4859177551e+01	9.9594769892e-01	5.3511705686e-01	4.3289128499e+24	3.7977501821e+25	1.3127717846e+07	2.6661166841e+03	4.0000000000e+00
3.5440856398e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609894194e+03	3.8530945869e+03	9.1600652330e+03	2.4859177551e+01	9.9587021176e-01	5.3511705686e-01	4.3324853321e+24	3.7973929338e+25	1.3127792863e+07	2.6705457575e+03	4.0000000000e+00
3.5440856561e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4609896530e+03	3.8536104521e+03	9.1177278300e+03	2.4859177551e+01	9.9579249127e-01	5.3511705686e-01	4.3360712890e+24	3.7970343381e+25	1.3127871705e+07	2.6752079826e+03	4.0000000000e+00
3.5440856728e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4634971336e+03	3.8541516897e+03	9.0753905059e+03	2.4859177551e+01	9.9571453674e-01	5.3511705686e-01	4.3396700840e+24	3.7966744587e+25	1.3127682168e+07	2.6801072638e+03	4.0000000000e+00
3.5440856900e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4638267681e+03	3.8547232617e+03	9.0330532801e+03	2.4859177551e+01	9.9563634722e-01	5.3511705686e-01	4.3432810639e+24	3.7963133607e+25	1.3127769556e+07	2.6852897232e+03	4.0000000000e+00
3.5440857077e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4638268160e+03	3.8553220924e+03	8.9907160527e+03	2.4859177551e+01	9.9555792152e-01	5.3511705686e-01	4.3469035973e+24	3.7959511073e+25	1.3127861101e+07	2.6907290917e+03	4.0000000000e+00
3.5440857259e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4638269093e+03	3.8559455905e+03	8.9483788267e+03	2.4859177551e+01	9.9547925867e-01	5.3511705686e-01	4.3505370512e+24	3.7955877619e+25	1.3127956403e+07	2.6964033506e+03	4.0000000000e+00
3.5440857447e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4638270516e+03	3.8565927919e+03	8.9060416012e+03	2.4859177551e+01	9.9540035766e-01	5.3511705686e-01	4.3541808091e+24	3.7952233861e+25	1.3128055310e+07	2.7023051547e+03	4.0000000000e+00
3.5440857641e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4638272487e+03	3.8572624661e+03	8.8637042914e+03	2.4859177551e+01	9.9532121733e-01	5.3511705686e-01	4.3578342857e+24	3.7948580385e+25	1.3128157630e+07	2.7084247108e+03	4.0000000000e+00
3.5440857842e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4638275045e+03	3.8579531538e+03	8.8213670657e+03	2.4859177551e+01	9.9524183699e-01	5.3511705686e-01	4.3614969029e+24	3.7944917768e+25	1.3128263137e+07	2.7147500845e+03	4.0000000000e+00
3.5440858049e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4667235373e+03	3.8586632225e+03	8.7790298398e+03	2.4859177551e+01	9.9516221547e-01	5.3511705686e-01	4.3651681359e+24	3.7941246535e+25	1.3128054020e+07	2.7212676807e+03	4.0000000000e+00
3.5440858263e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4670738534e+03	3.8593909143e+03	8.7366925191e+03	2.4859177551e+01	9.9508235157e-01	5.3511705686e-01	4.3688474949e+24	3.7937567176e+25	1.3128165197e+07	2.7279626525e+03	4.0000000000e+00
